class	saltbridge_distance
sterol	2.96
sterol	4.59
sterol	5.12
sterol	3.11
sterol	4.2
sterol	5.23
sterol	2.91
sterol	4.38
sterol	5.03
sterol	4.36
sterol	2.98
sterol	3.59
sterol	3.91
sterol	3.71
sterol	3.77
sterol	4.52
sterol	4.92
sterol	4.03
sterol	4.73
sterol	4.76
sterol	5.09
sterol	4.44
sterol	4.39
sterol	3.18
sterol	4.83
sterol	5.12
sterol	4.21
sterol	4.62
sterol	3.64
sterol	3.95
sterol	4.75
sterol	3.68
sterol	3.99
sterol	4.72
sterol	3.66
sterol	2.8
sterol	4.76
sterol	4.92
sterol	5.14
sterol	4.99
sterol	4.64
sterol	4.37
sterol	4.57
sterol	4.21
sterol	4.14
sterol	4.31
sterol	5.05
sterol	4.37
sterol	4.4
sterol	4.3
sterol	3.52
sterol	3.44
sterol	3.53
sterol	4.65
sterol	4.31
sterol	3.72
sterol	3.43
sterol	3.53
sterol	4.63
sterol	4.32
sterol	3.46
sterol	3.52
sterol	4.63
sterol	4.36
sterol	4.09
sterol	3.43
sterol	3.54
sterol	4.66
sterol	4.35
sterol	3.4
sterol	4.34
sterol	3.48
sterol	4.71
sterol	4.35
sterol	3.45
sterol	3.87
sterol	3.5
sterol	4.68
sterol	5.5
sterol	5.24
sterol	5.27
sterol	4.6
sterol	4.55
sterol	4.25
sterol	3.55
sterol	3.7
sterol	3.52
sterol	5.11
sterol	4.32
sterol	3.51
sterol	3.8
sterol	3.61
sterol	5.14
sterol	5.16
sterol	5.0
sterol	5.06
sterol	4.73
sterol	5.09
sterol	5.18
sterol	4.88
sterol	5.4
sterol	4.74
sterol	5.02
sterol	5.43
sterol	5.43
sterol	4.08
sterol	4.46
sterol	3.47
sterol	3.72
sterol	3.55
sterol	4.73
sterol	4.4
sterol	3.52
sterol	3.64
sterol	3.66
sterol	4.7
sterol	3.56
sterol	4.67
sterol	5.38
sterol	3.96
sterol	4.09
sterol	4.36
sterol	3.43
sterol	3.48
sterol	3.43
sterol	5.15
sterol	4.54
sterol	3.67
sterol	3.48
sterol	3.47
sterol	5.06
sterol	4.4
sterol	3.91
sterol	3.55
sterol	3.23
sterol	5.23
sterol	4.38
sterol	4.11
sterol	3.58
sterol	3.52
sterol	5.06
sterol	4.46
sterol	3.4
sterol	3.48
sterol	3.31
sterol	5.31
sterol	4.55
sterol	3.58
sterol	3.5
sterol	3.63
sterol	4.96
sterol	4.3
sterol	3.47
sterol	3.48
sterol	3.6
sterol	4.59
sterol	4.31
sterol	3.45
sterol	3.55
sterol	3.63
sterol	4.64
sterol	4.33
sterol	3.49
sterol	3.52
sterol	3.62
sterol	4.62
sterol	4.34
sterol	3.42
sterol	3.57
sterol	3.63
sterol	4.57
sterol	5.01
sterol	4.44
sterol	4.54
sterol	4.19
sterol	4.32
sterol	3.38
sterol	3.34
sterol	3.61
sterol	4.59
sterol	4.39
sterol	3.42
sterol	3.38
sterol	3.6
sterol	4.68
sterol	4.33
sterol	3.42
sterol	3.34
sterol	3.58
sterol	4.66
sterol	4.37
sterol	3.44
sterol	3.36
sterol	3.59
sterol	4.67
sterol	4.35
sterol	3.47
sterol	3.47
sterol	3.62
sterol	4.63
sterol	4.35
sterol	3.47
sterol	3.51
sterol	3.62
sterol	4.66
sterol	4.33
sterol	3.41
sterol	3.35
sterol	3.6
sterol	4.64
sterol	4.31
sterol	3.49
sterol	3.39
sterol	3.59
sterol	4.66
sterol	4.3
sterol	3.42
sterol	3.37
sterol	3.57
sterol	4.63
sterol	4.38
sterol	3.44
sterol	3.43
sterol	3.56
sterol	4.71
sterol	4.3
sterol	3.41
sterol	3.44
sterol	3.5
sterol	4.67
sterol	4.32
sterol	3.44
sterol	3.4
sterol	3.53
sterol	4.73
sterol	5.02
sterol	3.62
sterol	4.2
sterol	4.33
sterol	5.0
sterol	4.29
sterol	5.02
sterol	5.32
sterol	3.68
sterol	4.88
sterol	4.94
sterol	3.71
sterol	4.86
sterol	5.17
sterol	3.81
sterol	5.17
sterol	4.26
sterol	3.57
sterol	3.52
sterol	3.54
sterol	4.74
sterol	4.31
sterol	3.53
sterol	3.53
sterol	3.52
sterol	5.18
sterol	4.37
sterol	3.53
sterol	3.81
sterol	3.48
sterol	4.64
sterol	4.34
sterol	3.5
sterol	3.93
sterol	3.52
sterol	4.69
sterol	4.45
sterol	3.45
sterol	4.42
sterol	3.47
sterol	5.44
sterol	4.46
sterol	3.49
sterol	4.08
sterol	3.53
sterol	4.82
sterol	4.43
sterol	3.59
sterol	4.36
sterol	3.58
sterol	4.76
sterol	4.44
sterol	3.77
sterol	3.42
sterol	3.5
sterol	4.74
sterol	4.49
sterol	4.01
sterol	3.38
sterol	3.74
sterol	4.84
sterol	4.5
sterol	3.39
sterol	3.95
sterol	3.65
sterol	4.85
sterol	4.52
sterol	3.47
sterol	4.26
sterol	3.87
sterol	4.93
sterol	4.94
sterol	5.06
sterol	5.03
sterol	5.24
sterol	4.12
sterol	5.39
sterol	4.23
sterol	4.85
sterol	4.95
sterol	4.6
sterol	4.61
sterol	3.41
sterol	3.83
sterol	3.89
sterol	5.21
sterol	4.22
sterol	3.92
sterol	5.21
sterol	3.48
sterol	4.81
sterol	4.27
sterol	3.43
sterol	3.5
sterol	3.53
sterol	4.69
sterol	4.31
sterol	3.4
sterol	3.5
sterol	3.58
sterol	4.68
sterol	4.28
sterol	3.36
sterol	3.44
sterol	4.69
sterol	4.34
sterol	3.42
sterol	3.51
sterol	4.7
sterol	3.74
